Seq_Sample_ID,Sample_ID,,District,Country
all_GMTP052_S28,GMTP052_S28,GMTP052,Gondar,Ethiopia
all_GMTP053_S39,GMTP053_S39,GMTP053,Gondar,Ethiopia
all_GMTP054_S51,GMTP054_S51,GMTP054,Gondar,Ethiopia
all_GMTP055_S191,GMTP055_S191,GMTP055,Gondar,Ethiopia
all_GMTP056_S203,GMTP056_S203,GMTP056,Gondar,Ethiopia
all_TG01-001_S215,TG01-001_S215,TG01-001,T.Abergelle,Ethiopia
all_TG01-002_S7,TG01-002_S7,TG01-002,T.Abergelle,Ethiopia
all_TG01-003_S18,TG01-003_S18,TG01-003,T.Abergelle,Ethiopia
all_TG01-005_S29,TG01-005_S29,TG01-005,T.Abergelle,Ethiopia
all_TG01-008_S40,TG01-008_S40,TG01-008,T.Abergelle,Ethiopia
all_TG01-009_S52,TG01-009_S52,TG01-009,T.Abergelle,Ethiopia
all_TG01-010_S192,TG01-010_S192,TG01-010,T.Abergelle,Ethiopia
all_TG01-011_S204,TG01-011_S204,TG01-011,T.Abergelle,Ethiopia
all_TG01-012_S216,TG01-012_S216,TG01-012,T.Abergelle,Ethiopia
all_TG01-016_S8,TG01-016_S8,TG01-016,T.Abergelle,Ethiopia
all_TG01-017_S19,TG01-017_S19,TG01-017,T.Abergelle,Ethiopia
all_TG01-018_S30,TG01-018_S30,TG01-018,T.Abergelle,Ethiopia
all_TG01-019_S41,TG01-019_S41,TG01-019,T.Abergelle,Ethiopia
all_TG01-020_S53,TG01-020_S53,TG01-020,T.Abergelle,Ethiopia
all_TG01-021_S193,TG01-021_S193,TG01-021,T.Abergelle,Ethiopia
all_TG01-022_S205,TG01-022_S205,TG01-022,T.Abergelle,Ethiopia
all_TG01-023_S217,TG01-023_S217,TG01-023,T.Abergelle,Ethiopia
all_TG01-024_S9,TG01-024_S9,TG01-024,T.Abergelle,Ethiopia
all_TG01-028_S20,TG01-028_S20,TG01-028,T.Abergelle,Ethiopia
